METS,heading,description
8.5,bicycling,"bicycling, BMX or mountain"
4.0,bicycling,"bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115"
8.0,bicycling,"bicycling, general"
6.0,bicycling,"bicycling, 10-11.9 mph, leisure, slow, light effort"
8.0,bicycling,"bicycling, 12-13.9 mph, leisure, moderate effort"
10.0,bicycling,"bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort"
12.0,bicycling,"bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing genera"
16.0,bicycling,"bicycling, >20 mph, racing, not drafting"
5.0,bicycling,unicycling
7.0,conditioning exercise,"bicycling, stationary, general"
3.0,conditioning exercise,"bicycling, stationary, 50 watts, very light effort"
5.5,conditioning exercise,"bicycling, stationary, 100 watts, light effort"
7.0,conditioning exercise,"bicycling, stationary, 150 watts, moderate effort"
10.5,conditioning exercise,"bicycling, stationary, 200 watts, vigorous effort"
12.5,conditioning exercise,"bicycling, stationary, 250 watts, very vigorous effort"
8.0,conditioning exercise,"calisthenics (e.g. pushups, situps, pullups, jumping jacks), heavy, vigorous effort"
3.5,conditioning exercise,"calisthenics, home exercise, light or moderate effort, general (example: back exercises), going up & down from floor (Taylor Code 150"
8.0,conditioning exercise,"circuit training, including some aerobic movement with minimal rest, general"
6.0,conditioning exercise,"weight lifting (free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code 210"
5.5,conditioning exercise,"health club exercise, general (Taylor Code 160"
9.0,conditioning exercise,"stair-treadmill ergometer, general"
7.0,conditioning exercise,"rowing, stationary ergometer, genera"
3.5,conditioning exercise,"rowing, stationary, 50 watts, light effort"
7.0,conditioning exercise,"rowing, stationary, 100 watts, moderate effort"
8.5,conditioning exercise,"rowing, stationary, 150 watts, vigorous effort"
12.0,conditioning exercise,"rowing, stationary, 200 watts, very vigorous effort"
7.0,conditioning exercise,"ski machine, general"
6.0,conditioning exercise,"slimnastics, jazzercise"
2.5,conditioning exercise,"stretching, hatha yoga"
2.5,conditioning exercise,mild stretching
6.0,conditioning exercise,teaching aerobic exercise class
4.0,conditioning exercise,"water aerobics, water calisthenics"
3.0,conditioning exercise,"weight lifting (free, nautilus or universal-type), light or moderate effort, light workout, genera"
1.0,conditioning exercise,"whirlpool, sitting"
4.8,dancing,"ballet or modern, twist, jazz, tap, jitterbug"
6.5,dancing,"aerobic, general"
8.5,dancing,"aerobic, step, with 6 – 8 inch step"
10.0,dancing,"aerobic, step, with 10 – 12 inch step"
5.0,dancing,"aerobic, low impact"
7.0,dancing,"aerobic, high impact"
4.5,dancing,"general, Greek, Middle Eastern, hula, flamenco, belly, and swing dancing"
5.5,dancing,"ballroom, dancing fast (Taylor Code 125)"
4.5,dancing,"ballroom, fast (disco, folk, square), line dancing, Irish step dancing, polka, contra, country"
3.0,dancing,"ballroom, slow (e.g. waltz, foxtrot, slow dancing),samba, tango, 19th C, mambo, chacha"
5.5,dancing,Anishinaabe Jingle Dancing or other traditional American Indian dancing
3.0,fishing and hunting,"fishing, general"
4.0,fishing and hunting,"digging worms, with shovel"
4.0,fishing and hunting,fishing from river bank and walking
2.5,fishing and hunting,"fishing from boat, sitting"
3.5,fishing and hunting,"fishing from river bank, standing (Taylor Code 660)"
6.0,fishing and hunting,"fishing in stream, in waders (Taylor Code 670)"
2.0,fishing and hunting,"fishing, ice, sitting"
2.5,fishing and hunting,"hunting, bow and arrow or crossbow"
6.0,fishing and hunting,"hunting, deer, elk, large game (Taylor Code 170)"
2.5,fishing and hunting,"hunting, duck, wading"
5.0,fishing and hunting,"hunting, general"
6.0,fishing and hunting,"hunting, pheasants or grouse (Taylor Code 680"
5.0,fishing and hunting,"hunting, rabbit, squirrel, prairie chick, raccoon, small game (Taylor Code 690)"
2.5,fishing and hunting,"pistol shooting or trap shooting, standing"
